id,price,square_feet,bedrooms,bathrooms,age_years,garage_spaces,pool,neighborhood,condition,description,id_squared,id_sqrt,square_feet_squared,square_feet_sqrt,bedrooms_squared,bedrooms_sqrt,bathrooms_squared,bathrooms_sqrt,age_years_squared,age_years_sqrt,neighborhood_encoded,condition_encoded,id_x_square_feet,id_x_bedrooms,square_feet_x_bedrooms,description_992,description_993,description_994,description_995,description_996,id_scaled,square_feet_scaled,bedrooms_scaled,bathrooms_scaled,age_years_scaled,garage_spaces_scaled,pool_scaled
1,218543.0534813131,1577.5583011222025,4,2.9773412934085797,52.0,0.0,1,Downtown,Fair,Property in location 0,1,1.0,2488690.19343957,39.718488152524166,16,2.0,8.864561177435874,1.7254974046368716,2704.0,7.211102550927978,281346.191222543,265728.2894519788,1577.5583011222025,4,6310.23320448881,0.0,0.0,0.0,0.0,0.0,-1.7303196219213355,-1.1021785715624413,0.6889119851370474,0.5100182788468648,0.10965146245910057,-1.3263308565552216,0.9416965821485118
2,477821.4378844623,3075.9839789891043,3,1.3266799419431172,54.0,0.0,0,Rural,Good,Property in location 1,4,1.4142135623730951,9461677.438997643,55.46155406215286,9,1.7320508075688772,1.7600796683541928,1.1518159323186659,2916.0,7.3484692283495345,267731.6944756149,266790.1207078561,6151.967957978209,6,9227.951936967313,0.0,0.0,0.0,0.0,0.0,-1.7268555185741457,0.11944662666471882,-0.014059428268103021,-1.4298544884265123,0.17997339210229238,-1.3263308565552216,-1.061913167103641
3,379397.27381513227,4466.372510680914,4,2.909615940260063,36.0,3.0,0,Suburbs,Poor,Property in location 2,9,1.7320508075688772,19948483.404166132,66.83092480791295,16,2.0,8.465864919815452,1.7057596373053454,1296.0,6.0,262766.53441198374,273523.7892738089,13399.117532042743,12,17865.490042723657,0.0,0.0,0.0,0.0,0.0,-1.7233914152269558,1.2529921142585654,0.6889119851370474,0.43042680594411525,-0.45292397468643397,1.4029420251649094,-1.061913167103641
4,319396.31788866647,3875.344522920157,2,2.494708001497819,55.0,1.0,0,Downtown,Excellent,Property in location 3,16,2.0,15018295.17132726,62.252265203124594,4,1.4142135623730951,6.223568012737242,1.57946446667781,3025.0,7.416198487095663,281346.191222543,276815.30051912507,15501.378091680628,8,7750.689045840314,0.0,0.0,0.0,0.0,0.0,-1.719927311879766,0.7711432689198594,-0.7170308416732535,-0.057176911569378853,0.2151343569238883,-0.416573229315178,-1.061913167103641
5,120208.38819909643,4187.556821018088,2,2.2200222099957494,58.0,1.0,1,Rural,Good,Property in location 4,25,2.23606797749979,17535632.129255116,64.71133456372297,4,1.4142135623730951,4.928498612874411,1.4899738957430595,3364.0,7.615773105863909,267731.6944756149,266790.1207078561,20937.78410509044,10,8375.113642036176,0.0,0.0,0.0,0.0,0.0,-1.7164632085325762,1.0256813592546412,-0.7170308416732535,-0.3799902409168714,0.32061725138867603,-0.416573229315178,0.9416965821485118
6,120197.5341512912,3566.890140185013,1,3.8590600635366976,92.0,2.0,1,Rural,Excellent,Property in location 5,36,2.449489742783178,12722705.272149062,59.723447155912,1,1.0,14.892344573983861,1.9644490483432493,8464.0,9.591663046625438,267731.6944756149,276815.30051912507,21401.34084111008,6,3566.890140185013,0.0,0.0,0.0,0.0,0.0,-1.7129991051853863,0.519668903511709,-1.420002255078404,1.5462224821177493,1.516090055322937,0.4931843979248657,0.9416965821485118
7,76137.62547568975,3707.5615709749804,5,2.5676191501961596,68.0,1.0,1,Rural,Good,Property in location 6,49,2.6457513110645907,13746012.802570464,60.88974930951006,25,2.23606797749979,6.592668100454048,1.6023792154780838,4624.0,8.246211251235321,267731.6944756149,266790.1207078561,25952.930996824864,35,18537.807854874904,0.0,0.0,0.0,0.0,0.0,-1.7095350018381965,0.6343544478547075,1.391883398542198,0.02850895710681051,0.6722268996046351,-0.416573229315178,0.9416965821485118
8,439779.2655987208,4366.621736574341,4,1.6573524384098153,72.0,1.0,0,Rural,Fair,Property in location 7,64,2.8284271247461903,19067385.390323516,66.08041870761974,16,2.0,2.7468171051029606,1.287382009509926,5184.0,8.48528137423857,267731.6944756149,265728.2894519788,34932.97389259473,32,17466.486946297366,0.0,0.0,0.0,0.0,0.0,-1.7060708984910065,1.1716680546197005,0.6889119851370474,-1.0412450560844047,0.8128707588910188,-0.416573229315178,-1.061913167103641
9,320501.75528444396,1848.605637208581,1,2.376890438131896,58.0,1.0,1,Rural,Excellent,Property in location 8,81,3.0,3417342.8019193434,42.995414141610276,1,1.0,5.649608154882837,1.5417167178609357,3364.0,7.615773105863909,267731.6944756149,276815.30051912507,16637.450734877228,9,1848.605637208581,0.0,0.0,0.0,0.0,0.0,-1.7026067951438166,-0.8812011413392539,-1.420002255078404,-0.1956372217215193,0.32061725138867603,-0.416573229315178,0.9416965821485118
10,368632.66000822047,2855.58484730119,5,3.758162213718018,1.0,2.0,1,Rural,Excellent,Property in location 9,100,3.1622776601683795,8154364.8201361615,53.437672547568816,25,2.23606797749979,14.123783224617913,1.9385980020927542,1.0,1.0,267731.6944756149,276815.30051912507,28555.8484730119,50,14277.92423650595,0.0,0.0,0.0,0.0,0.0,-1.6991426917966268,-0.060238717035896755,1.391883398542198,1.4276463786874927,-1.6835577434422908,0.4931843979248657,0.9416965821485118
11,59263.0224331111,1729.0796556423293,4,1.528286413991784,64.0,0.0,1,Suburbs,Fair,Property in location 10,121,3.3166247903554,2989716.455556196,41.58220359291135,16,2.0,2.3356593631918665,1.2362388175396306,4096.0,8.0,262766.53441198374,265728.2894519788,19019.87621206562,44,6916.318622569317,0.0,0.0,0.0,0.0,0.0,-1.695678588449437,-0.9786473831388675,0.6889119851370474,-1.1929246636105026,0.5315830403182515,-1.3263308565552216,0.9416965821485118
12,486459.43347289745,4948.205633585917,3,1.6418711160647108,59.0,1.0,1,Suburbs,Excellent,Property in location 11,144,3.4641016151377544,24484738.992251407,70.34348323466729,9,1.7320508075688772,2.695740761767579,1.2813551873172055,3481.0,7.681145747868608,262766.53441198374,276815.30051912507,59378.46760303101,36,14844.616900757752,0.0,0.0,0.0,0.0,0.0,-1.6922144851022471,1.6458173927996878,-0.014059428268103021,-1.059438851917806,0.35577821621027195,-0.416573229315178,0.9416965821485118
13,424599.1883601898,4765.0492266837755,4,1.0390887032712512,50.0,2.0,0,Suburbs,Good,Property in location 12,169,3.605551275463989,22705694.132719647,69.02933598611372,16,2.0,1.0797053332659303,1.0193570048178662,2500.0,7.0710678118654755,262766.53441198374,266790.1207078561,61945.63994688908,52,19060.196906735102,0.0,0.0,0.0,0.0,0.0,-1.6887503817550573,1.4964950171934965,0.6889119851370474,-1.7678344208400714,0.03932953281590875,0.4931843979248657,-1.061913167103641
14,145552.59980522428,965.5926077477247,2,1.0425701481873015,29.0,2.0,1,Suburbs,Poor,Property in location 13,196,3.7416573867739413,932369.0841370514,31.073986029277364,4,1.4142135623730951,1.0869525138912919,1.021063243970373,841.0,5.385164807134504,262766.53441198374,273523.7892738089,13518.296508468145,28,1931.1852154954495,0.0,0.0,0.0,0.0,0.0,-1.6852862784078675,-1.6010973517992166,-0.7170308416732535,-1.7637429939841553,-0.6990507284376054,0.4931843979248657,0.9416965821485118
